"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"6963","LOC102931296",0,0,0,0,0,0
"6964","LOC102931305",0,0,0,0,0,0
"6965","LOC102931316",0,105,0,0,0,0
"6966","LOC102931320",0,0,0,0,0,0
"6967","LOC102931332",0,0,0,0,0,0
"6968","LOC102931337",0,0,0,0,0,0
"6969","LOC102931345",0,0,0,0,0,0
"6970","LOC102931347",0,0,0,0,0,0
"6971","LOC102931356",0,0,0,0,0,0
"6972","LOC102931358",6,369,0,31,0,9
"6973","LOC102931362",0,0,0,0,0,0
"6974","LOC102931365",0,3,0,0,0,2
"6975","LOC102931366",0,0,0,0,0,0
"6976","LOC102931368",0,22,0,0,0,0
"6977","LOC102931370",3,794,0,0,0,4
"6978","LOC102931375",0,0,0,0,0,0
"6979","LOC102931383",6,1695,7,26,20,58
"6980","LOC102931389",0,0,0,0,0,0
"6981","LOC102931391",0,192,0,0,0,3
"6982","LOC102931399",0,0,0,0,0,0
"6983","LOC102931400",0,0,0,0,0,6
"6984","LOC102931403",0,0,0,0,0,0
"6985","LOC102931406",3,104,7,27,0,5
"6986","LOC102931410",0,0,0,0,0,0
"6987","LOC102931415",0,0,0,0,0,0
"6988","LOC102931425",0,0,0,0,0,0
"6989","LOC102931426",0,0,0,0,0,0
"6990","LOC102931430",0,0,0,0,0,0
"6991","LOC102931446",0,0,0,0,0,3
"6992","LOC102931475",0,126,14,0,0,12
"6993","LOC102931483",0,0,0,0,0,0
"6994","LOC102931491",0,0,0,0,0,0
"6995","LOC102931493",0,17,0,0,0,0
"6996","LOC102931501",0,0,0,0,0,0
"6997","LOC102931509",1,0,0,0,0,0
"6998","LOC102931520",0,22,0,0,0,1
"6999","LOC102931528",7,2630,16,78,48,151
"7000","LOC102931529",0,0,0,0,0,0
"7001","LOC102931533",0,0,0,0,0,0
"7002","LOC102931536",0,0,0,0,0,0
"7003","LOC102931538",0,3,0,0,0,0
"7004","LOC102931539",0,0,0,0,0,0
"7005","LOC102931543",0,0,0,111,0,23
"7006","LOC102931549",2,236,27,0,1,29
"7007","LOC102931559",0,0,0,0,0,0
"7008","LOC102931567",0,0,0,0,0,0
"7009","LOC102931573",33,1447,53,54,36,191
"7010","LOC102931579",0,0,0,0,0,0
"7011","LOC102931603",0,0,0,0,0,0
"7012","LOC102931609",0,0,0,0,0,0
"7013","LOC102931614",0,0,0,0,0,0
"7014","LOC102931615",1,131,0,32,4,5
"7015","LOC102931618",0,0,0,0,0,0
"7016","LOC102931628",0,0,0,0,0,0
"7017","LOC102931633",0,0,0,0,0,0
"7018","LOC102931635",0,0,0,0,0,0
"7019","LOC102931639",796,85708,963,1378,1250,4443
"7020","LOC102931648",0,137,1,0,2,10
"7021","LOC102931653",0,0,0,0,0,0
"7022","LOC102931668",0,0,0,0,0,0
"7023","LOC102931687",0,0,0,0,0,0
"7024","LOC102931690",0,0,0,0,0,0
"7025","LOC102931691",0,0,0,0,0,0
"7026","LOC102931698",2,17,4,0,0,0
"7027","LOC102931701",16,4102,103,133,80,116
"7028","LOC102931710",32,5807,113,12,49,222
"7029","LOC102931711",0,0,0,0,0,0
"7030","LOC102931717",0,29,0,0,0,0
"7031","LOC102931718",0,23,0,0,0,0
"7032","LOC102931738",0,494,0,5,9,9
"7033","LOC102931741",62,12016,50,85,132,246
"7034","LOC102931746",3,798,0,38,17,29
"7035","LOC102931751",0,52,0,0,0,0
"7036","LOC102931755",0,0,0,0,0,0
"7037","LOC102931768",0,23,0,0,0,0
"7038","LOC102931769",0,0,0,372,0,41
"7039","LOC102931771",0,0,0,0,0,0
"7040","LOC102931788",3,204,0,0,0,0
"7041","LOC102931790",18,1217,15,55,34,40
"7042","LOC102931795",0,0,0,0,0,0
"7043","LOC102931801",0,0,0,18,0,1
"7044","LOC102931802",0,0,0,0,0,0
"7045","LOC102931805",0,0,0,0,0,0
"7046","LOC102931811",0,0,0,0,0,0
"7047","LOC102931817",0,0,0,0,0,0
"7048","LOC102931824",0,0,0,0,0,0
"7049","LOC102931826",6,764,3,0,2,19
"7050","LOC102931833",0,0,0,0,0,0
"7051","LOC102931836",2,242,0,14,0,12
"7052","LOC102931845",0,2,0,0,0,1
"7053","LOC102931846",0,2,0,0,0,0
"7054","LOC102931853",8,467,5,19,9,37
"7055","LOC102931859",3,617,0,18,15,20
"7056","LOC102931862",0,0,0,0,0,0
"7057","LOC102931863",0,0,0,0,0,0
"7058","LOC102931868",0,0,0,0,0,0
"7059","LOC102931881",0,0,0,0,0,0
"7060","LOC102931882",0,0,0,0,0,1
"7061","LOC102931901",0,0,0,0,0,0
"7062","LOC102931917",53,13200,122,178,129,361
"7063","LOC102931919",0,0,0,0,0,0
"7064","LOC102931921",0,0,0,0,0,0
"7065","LOC102931925",1,53,0,1,1,4
"7066","LOC102931926",0,21,0,0,0,0
"7067","LOC102931927",0,0,0,0,0,0
"7068","LOC102931932",0,0,0,0,0,0
"7069","LOC102931952",8,887,0,6,19,6
"7070","LOC102931955",0,0,0,0,0,0
"7071","LOC102931956",0,0,0,0,0,0
"7072","LOC102931958",0,7,0,0,0,0
"7073","LOC102931959",0,0,0,0,0,0
"7074","LOC102931963",0,0,0,0,0,0
"7075","LOC102931965",9,3047,16,56,27,144
"7076","LOC102931983",1,85,0,1,2,5
"7077","LOC102931986",2,350,2,0,14,18
"7078","LOC102931998",0,55,0,0,0,0
"7079","LOC102932000",0,0,0,0,0,0
"7080","LOC102932022",1,240,0,5,3,0
"7081","LOC102932023",0,0,0,0,0,0
"7082","LOC102932025",1,0,0,0,0,0
"7083","LOC102932028",0,0,0,0,0,0
"7084","LOC102932031",0,321,0,0,0,2
"7085","LOC102932035",0,236,0,0,4,3
"7086","LOC102932038",0,0,0,0,0,0
"7087","LOC102932042",63,4418,113,172,85,356
"7088","LOC102932049",0,0,0,0,0,0
"7089","LOC102932055",0,83,0,0,0,0
"7090","LOC102932057",0,0,0,0,0,0
"7091","LOC102932068",0,36,0,0,6,11
"7092","LOC102932072",1,239,1,0,2,1
"7093","LOC102932088",0,0,0,0,0,0
"7094","LOC102932090",0,63,0,0,0,0
"7095","LOC102932092",6,331,0,0,1,15
"7096","LOC102932093",0,0,0,0,0,0
"7097","LOC102932106",0,0,0,0,0,0
"7098","LOC102932107",0,0,0,0,0,0
"7099","LOC102932122",0,0,0,0,0,0
"7100","LOC102932126",0,0,0,0,0,0
"7101","LOC102932138",0,0,0,0,0,0
"7102","LOC102932146",0,0,0,0,0,0
"7103","LOC102932153",0,0,0,0,0,0
"7104","LOC102932156",0,78,0,0,0,0
"7105","LOC102932159",0,0,0,0,0,0
"7106","LOC102932169",0,0,0,0,0,0
"7107","LOC102932174",0,0,0,0,0,0
"7108","LOC102932175",0,0,0,0,0,3
"7109","LOC102932182",0,0,0,0,0,0
"7110","LOC102932184",0,119,0,0,3,0
"7111","LOC102932185",0,5,0,0,0,0
"7112","LOC102932197",0,80,0,0,0,3
"7113","LOC102932213",2,265,4,0,0,36
"7114","LOC102932214",0,0,0,0,0,0
"7115","LOC102932219",1,0,0,0,0,0
"7116","LOC102932224",0,42,7,0,0,14
"7117","LOC102932237",0,2,0,0,0,0
"7118","LOC102932238",0,0,0,0,0,0
"7119","LOC102932244",0,0,0,0,0,0
"7120","LOC102932250",0,0,0,0,0,0
"7121","LOC102932252",0,0,0,0,0,0
"7122","LOC102932256",0,0,0,0,0,0
"7123","LOC102932257",0,0,0,0,0,0
"7124","LOC102932261",0,0,0,0,0,0
"7125","LOC102932266",0,0,0,0,0,0
"7126","LOC102932267",0,0,0,0,0,0
"7127","LOC102932275",3,662,0,26,13,47
"7128","LOC102932288",0,0,0,0,0,0
"7129","LOC102932289",0,0,0,0,0,0
"7130","LOC102932297",0,0,0,0,0,0
"7131","LOC102932310",0,0,0,0,0,0
"7132","LOC102932311",0,0,0,0,0,0
"7133","LOC102932316",0,0,0,0,0,0
"7134","LOC102932317",0,0,0,0,0,0
"7135","LOC102932319",0,0,0,0,0,0
"7136","LOC102932329",0,0,0,0,0,0
"7137","LOC102932337",55,10166,59,67,164,431
"7138","LOC102932338",2,445,1,0,9,59
"7139","LOC102932339",0,0,0,0,0,0
"7140","LOC102932341",0,0,0,0,0,0
"7141","LOC102932346",0,0,0,0,0,0
"7142","LOC102932347",0,0,0,0,0,1
"7143","LOC102932357",0,41,26,0,0,0
"7144","LOC102932368",0,0,0,0,0,0
"7145","LOC102932374",0,0,0,0,0,0
"7146","LOC102932376",0,0,0,0,0,0
"7147","LOC102932384",0,0,0,0,0,0
"7148","LOC102932385",0,94,0,0,4,1
"7149","LOC102932396",4,1230,0,57,15,49
"7150","LOC102932398",0,0,0,0,0,0
"7151","LOC102932414",9,609,18,49,17,39
"7152","LOC102932420",0,0,0,0,0,0
"7153","LOC102932431",0,0,0,0,0,0
"7154","LOC102932438",0,0,0,0,0,0
"7155","LOC102932459",0,0,0,0,0,0
"7156","LOC102932460",2,148,0,0,0,1
"7157","LOC102932467",0,0,0,0,0,0
"7158","LOC102932468",0,0,0,0,0,0
"7159","LOC102932472",0,41,5,14,0,0
"7160","LOC102932477",0,0,0,0,0,0
"7161","LOC102932484",0,128,0,0,0,10
"7162","LOC102932487",0,0,0,0,0,0
"7163","LOC102932496",1,2,0,166,0,56
"7164","LOC102932498",0,0,0,0,0,0
"7165","LOC102932502",0,0,0,0,0,0
"7166","LOC102932505",0,0,0,0,0,0
"7167","LOC102932510",0,0,0,0,0,0
"7168","LOC102932517",0,666,5,0,5,31
"7169","LOC102932518",0,0,0,0,0,0
"7170","LOC102932523",0,0,0,0,0,0
"7171","LOC102932529",0,0,0,0,0,0
"7172","LOC102932532",0,52,0,0,0,0
"7173","LOC102932536",0,0,0,13,0,12
"7174","LOC102932543",0,0,0,0,0,0
"7175","LOC102932558",0,58,0,0,0,3
"7176","LOC102932562",2,440,9,4,12,15
"7177","LOC102932571",0,0,0,0,0,0
"7178","LOC102932572",0,0,0,0,0,0
"7179","LOC102932593",0,55,0,0,0,9
"7180","LOC102932601",0,0,0,0,0,0
"7181","LOC102932609",0,0,0,0,0,0
"7182","LOC102932611",0,0,0,0,0,0
"7183","LOC102932612",0,0,0,0,0,0
"7184","LOC102932620",0,0,0,0,0,0
"7185","LOC102932627",0,1,0,0,0,0
"7186","LOC102932629",1,374,11,0,7,4
"7187","LOC102932634",0,0,0,0,0,0
"7188","LOC102932653",1,310,5,0,8,15
"7189","LOC102932677",0,0,0,0,0,0
"7190","LOC102932681",1,553,0,11,0,44
"7191","LOC102932685",0,0,0,0,0,0
"7192","LOC102932687",0,0,0,0,0,0
"7193","LOC102932691",0,0,0,0,0,0
"7194","LOC102932695",0,0,0,0,0,0
"7195","LOC102932697",0,0,0,0,0,0
"7196","LOC102932699",0,0,0,0,0,0
"7197","LOC102932708",0,0,0,0,0,0
"7198","LOC102932710",0,0,0,0,0,0
"7199","LOC102932715",0,212,3,8,4,22
"7200","LOC102932719",19,219,0,0,2,16
"7201","LOC102932721",0,0,0,0,0,0
"7202","LOC102932724",0,0,0,0,0,0
"7203","LOC102932725",0,19,0,0,1,0
"7204","LOC102932729",0,0,0,0,0,0
"7205","LOC102932760",0,480,24,4,3,0
"7206","LOC102932762",0,0,0,0,0,0
"7207","LOC102932767",0,66,0,0,0,0
"7208","LOC102932771",0,0,0,0,0,0
"7209","LOC102932774",0,0,0,0,0,0
"7210","LOC102932780",1,178,0,9,4,4
"7211","LOC102932781",0,501,41,0,4,11
"7212","LOC102932788",0,0,0,0,0,0
"7213","LOC102932794",0,0,0,0,0,0
"7214","LOC102932798",0,0,0,0,0,0
"7215","LOC102932805",2,234,0,21,11,16
"7216","LOC102932811",0,0,0,0,0,0
"7217","LOC102932817",0,0,0,0,0,0
"7218","LOC102932819",4,189,0,0,2,10
"7219","LOC102932823",1,269,8,0,1,0
"7220","LOC102932824",4,582,5,0,1,81
"7221","LOC102932828",0,0,0,0,0,0
"7222","LOC102932837",0,0,0,0,0,0
"7223","LOC102932847",2,161,0,1,14,7
"7224","LOC102932848",0,0,0,0,0,0
"7225","LOC102932855",3,2,0,0,1,4
"7226","LOC102932862",0,0,0,57,0,2
"7227","LOC102932865",0,0,0,0,0,0
"7228","LOC102932873",0,0,0,0,0,0
"7229","LOC102932875",0,0,0,0,0,0
"7230","LOC102932878",0,0,0,0,2,0
"7231","LOC102932883",0,0,0,0,0,0
"7232","LOC102932892",0,0,0,0,0,0
"7233","LOC102932894",1,225,0,0,4,3
"7234","LOC102932895",0,0,0,0,0,0
"7235","LOC102932900",1,535,0,47,0,18
"7236","LOC102932906",0,0,0,0,0,0
"7237","LOC102932907",0,0,0,0,0,0
"7238","LOC102932912",0,23,0,4,0,9
"7239","LOC102932918",0,0,0,0,0,0
"7240","LOC102932921",0,0,0,0,0,0
"7241","LOC102932929",0,0,0,0,0,0
"7242","LOC102932936",0,0,0,0,0,0
"7243","LOC102932938",0,0,0,0,0,0
"7244","LOC102932940",12,2232,5,0,26,41
"7245","LOC102932941",0,109,0,0,1,0
"7246","LOC102932944",0,0,0,0,0,0
"7247","LOC102932947",2,95,0,0,0,2
"7248","LOC102932959",0,0,0,0,0,0
"7249","LOC102932967",0,0,0,0,0,0
"7250","LOC102932975",0,0,0,0,0,0
"7251","LOC102932979",0,0,0,0,0,0
"7252","LOC102932988",0,0,0,0,0,0
"7253","LOC102932998",0,0,0,0,0,0
"7254","LOC102933006",0,170,0,0,0,6
"7255","LOC102933014",0,363,4,0,2,1
"7256","LOC102933016",0,0,0,0,0,0
"7257","LOC102933023",0,32,0,0,0,0
"7258","LOC102933024",0,0,0,0,0,0
"7259","LOC102933026",0,33,0,0,0,0
"7260","LOC102933032",0,1,2,0,0,0
"7261","LOC102933045",0,0,0,0,0,0
"7262","LOC102933055",0,169,6,8,4,23
"7263","LOC102933066",0,0,0,0,0,0
"7264","LOC102933069",0,0,0,0,0,0
"7265","LOC102933071",0,19,0,0,0,0
"7266","LOC102933083",0,0,0,0,0,0
"7267","LOC102933084",0,0,0,0,0,0
"7268","LOC102933096",21,1637,30,27,24,45
"7269","LOC102933104",3,2040,12,33,9,88
"7270","LOC102933112",75,2988,33,110,36,510
"7271","LOC102933115",0,78,0,0,0,0
"7272","LOC102933117",0,100,0,52,0,6
"7273","LOC102933126",0,0,0,0,0,0
"7274","LOC102933128",0,0,0,0,0,0
"7275","LOC102933139",0,0,0,0,0,0
"7276","LOC102933140",0,0,0,0,0,0
"7277","LOC102933149",0,0,0,0,0,0
"7278","LOC102933164",0,10,0,0,0,0
"7279","LOC102933165",0,0,0,0,0,0
"7280","LOC102933170",0,0,0,0,0,0
"7281","LOC102933180",0,0,0,0,0,0
"7282","LOC102933189",0,0,0,0,0,0
"7283","LOC102933196",0,0,0,0,0,0
"7284","LOC102933198",0,0,0,0,0,4
"7285","LOC102933210",0,121,0,1,0,2
"7286","LOC102933211",0,452,10,0,1,7
"7287","LOC102933212",1,1031,32,24,25,55
"7288","LOC102933214",0,0,0,0,0,0
"7289","LOC102933215",0,0,0,0,0,0
"7290","LOC102933217",0,0,0,0,0,0
"7291","LOC102933228",0,0,0,0,0,0
"7292","LOC102933252",0,0,0,0,0,0
"7293","LOC102933267",0,0,0,0,0,0
"7294","LOC102933270",0,0,0,0,0,0
"7295","LOC102933273",0,47,0,0,0,0
"7296","LOC102933275",0,47,0,0,1,2
"7297","LOC102933276",0,4,0,0,0,0
"7298","LOC102933289",0,0,0,0,0,0
"7299","LOC102933291",0,3,0,0,0,2
"7300","LOC102933292",0,0,0,0,0,0
"7301","LOC102933294",0,31,2,0,0,0
"7302","LOC102933298",0,50,0,0,4,0
"7303","LOC102933301",0,0,0,0,0,0
"7304","LOC102933304",0,0,0,0,0,0
"7305","LOC102933306",0,0,0,0,0,0
"7306","LOC102933309",0,0,0,0,0,0
"7307","LOC102933320",0,68,0,0,0,0
"7308","LOC102933321",0,62,0,0,0,0
"7309","LOC102933335",0,0,0,0,0,0
"7310","LOC102933337",0,112,0,0,0,5
"7311","LOC102933342",5,426,0,10,7,19
"7312","LOC102933366",0,0,0,0,0,0
"7313","LOC102933367",0,0,0,0,0,0
"7314","LOC102933374",0,0,0,0,0,0
"7315","LOC102933375",0,0,0,0,0,0
"7316","LOC102933377",0,0,0,17,0,14
"7317","LOC102933380",0,0,0,0,0,5
"7318","LOC102933381",24,5119,2,51,51,113
"7319","LOC102933386",7,89,6,0,1,16
"7320","LOC102933392",0,0,0,0,0,0
"7321","LOC102933397",0,0,0,0,0,0
"7322","LOC102933398",0,0,0,0,0,0
"7323","LOC102933401",0,0,0,0,0,0
"7324","LOC102933404",0,0,0,0,0,0
"7325","LOC102933418",0,0,0,0,0,0
"7326","LOC102933430",0,0,0,0,0,0
"7327","LOC102933452",2,62,0,0,0,7
"7328","LOC102933456",0,0,0,0,0,0
"7329","LOC102933461",0,0,0,0,0,0
"7330","LOC102933462",0,133,0,0,0,3
"7331","LOC102933466",2,199,0,32,1,25
"7332","LOC102933472",0,209,0,0,4,2
"7333","LOC102933475",2,237,21,0,0,0
"7334","LOC102933476",0,0,0,0,0,0
"7335","LOC102933481",0,0,0,0,0,0
"7336","LOC102933484",0,0,0,0,0,0
"7337","LOC102933485",2,526,0,0,0,6
"7338","LOC102933500",0,0,0,0,0,0
"7339","LOC102933505",3,244,0,27,0,46
"7340","LOC102933512",0,0,0,0,0,0
"7341","LOC102933516",0,0,0,0,0,0
"7342","LOC102933526",0,104,0,0,0,4
"7343","LOC102933531",0,0,0,0,0,0
"7344","LOC102933533",0,0,0,0,0,0
"7345","LOC102933534",0,0,0,0,0,0
"7346","LOC102933536",0,0,0,0,0,0
"7347","LOC102933556",0,0,0,0,0,0
"7348","LOC102933568",0,0,0,0,0,0
"7349","LOC102933579",4,848,28,26,3,24
"7350","LOC102933580",0,26,0,0,0,0
"7351","LOC102933581",0,108,9,7,4,2
"7352","LOC102933584",3,555,0,12,5,10
"7353","LOC102933596",0,0,0,0,0,0
"7354","LOC102933620",0,0,0,0,0,5
"7355","LOC102933625",0,0,0,0,0,0
"7356","LOC102933626",0,0,0,0,0,0
"7357","LOC102933627",0,0,0,0,0,0
"7358","LOC102933630",4,87,0,0,1,13
"7359","LOC102933667",0,0,0,0,0,0
"7360","LOC102933677",0,0,0,0,0,0
"7361","LOC102933681",0,238,0,0,0,17
"7362","LOC102933687",0,167,0,0,2,22
"7363","LOC102933689",1,356,5,55,4,50
"7364","LOC102933692",0,0,0,0,0,1
"7365","LOC102933702",0,2,0,0,0,0
"7366","LOC102933707",1,196,1,0,0,19
"7367","LOC102933710",0,0,0,0,0,0
"7368","LOC102933716",0,0,0,0,0,0
"7369","LOC102933724",0,0,0,0,0,0
"7370","LOC102933727",0,167,0,0,0,2
"7371","LOC102933733",21,581,15,12,44,147
"7372","LOC102933736",0,122,0,0,4,8
"7373","LOC102933737",0,0,0,0,0,0
"7374","LOC102933740",0,0,0,0,0,0
"7375","LOC102933747",0,0,0,0,0,0
"7376","LOC102933752",0,0,0,0,0,0
"7377","LOC102933762",0,0,0,0,0,0
"7378","LOC102933768",0,0,0,0,0,0
"7379","LOC102933770",0,184,0,0,0,2
"7380","LOC102933773",0,0,0,0,0,1
"7381","LOC102933780",0,0,0,0,0,0
"7382","LOC102933782",0,0,0,0,0,0
"7383","LOC102933796",0,69,0,0,8,5
"7384","LOC102933797",0,0,0,0,0,0
"7385","LOC102933813",0,0,0,0,0,0
"7386","LOC102933822",0,0,0,0,0,0
"7387","LOC102933829",1,1169,0,17,4,42
"7388","LOC102933833",0,0,0,0,0,0
"7389","LOC102933838",0,0,0,0,0,0
"7390","LOC102933839",0,0,0,0,0,0
"7391","LOC102933858",0,0,0,0,0,0
"7392","LOC102933871",0,0,0,0,0,0
"7393","LOC102933873",0,345,0,4,0,0
"7394","LOC102933875",0,0,0,0,0,0
"7395","LOC102933876",0,50,0,0,0,1
"7396","LOC102933881",0,0,0,0,0,0
"7397","LOC102933891",0,0,0,0,0,0
"7398","LOC102933893",0,18,0,0,0,0
"7399","LOC102933895",0,0,0,180,0,101
"7400","LOC102933901",0,157,2,4,2,16
"7401","LOC102933915",0,0,0,0,0,0
"7402","LOC102933916",0,0,0,0,0,0
"7403","LOC102933929",0,0,0,0,0,0
"7404","LOC102933937",24,1656,42,29,35,135
"7405","LOC102933943",0,80,0,0,0,1
"7406","LOC102933947",0,1,0,0,0,0
"7407","LOC102933956",0,0,0,0,0,0
"7408","LOC102933963",0,0,0,0,0,0
"7409","LOC102933968",0,0,0,0,0,0
"7410","LOC102933972",0,2,0,0,0,0
"7411","LOC102933975",0,0,0,0,0,0
"7412","LOC102933981",0,0,0,0,0,0
"7413","LOC102933989",0,0,0,0,0,0
"7414","LOC102933993",0,0,0,0,0,0
"7415","LOC102933998",0,0,0,0,0,0
"7416","LOC102934000",0,0,0,0,0,0
"7417","LOC102934001",36,5244,52,55,34,222
"7418","LOC102934002",0,0,0,0,0,0
"7419","LOC102934008",0,0,0,0,0,0
"7420","LOC102934016",0,0,0,0,0,0
"7421","LOC102934017",12,991,9,111,13,91
"7422","LOC102934018",23,2484,28,47,71,203
"7423","LOC102934019",0,0,0,0,0,0
"7424","LOC102934027",10,1375,0,1,4,39
"7425","LOC102934028",0,0,0,0,0,0
"7426","LOC102934029",0,0,0,0,0,0
"7427","LOC102934032",4,673,19,19,5,0
"7428","LOC102934043",0,166,0,0,4,6
"7429","LOC102934044",2,0,0,0,2,0
"7430","LOC102934045",0,0,0,0,0,0
"7431","LOC102934053",0,0,0,0,0,0
"7432","LOC102934058",0,0,0,0,0,0
"7433","LOC102934067",0,0,0,0,0,0
"7434","LOC102934068",4,130,0,0,2,5
"7435","LOC102934070",0,0,0,0,0,0
"7436","LOC102934080",0,0,0,1,0,3
"7437","LOC102934082",0,0,0,0,0,0
"7438","LOC102934085",0,0,0,5,0,0
"7439","LOC102934089",0,0,0,0,0,0
"7440","LOC102934091",0,51,0,0,5,0
"7441","LOC102934102",0,0,0,0,0,0
"7442","LOC102934118",1,270,0,35,0,5
"7443","LOC102934120",0,0,0,0,0,2
"7444","LOC102934124",4,341,0,17,0,0
"7445","LOC102934126",0,0,0,0,0,0
"7446","LOC102934134",0,27,0,1,1,0
"7447","LOC102934148",0,0,0,0,0,0
"7448","LOC102934149",0,2,0,0,0,2
"7449","LOC102934150",0,0,0,0,0,0
"7450","LOC102934153",0,0,0,0,0,0
"7451","LOC102934154",0,0,0,0,0,0
"7452","LOC102934171",54,8666,68,27,83,221
"7453","LOC102934175",0,157,0,0,8,5
"7454","LOC102934184",0,0,0,0,0,0
"7455","LOC102934201",0,0,0,4414,0,965
"7456","LOC102934207",0,0,0,0,0,0
"7457","LOC102934211",1,150,0,0,0,0
"7458","LOC102934217",0,49,0,0,0,0
"7459","LOC102934219",0,0,0,0,0,0
"7460","LOC102934220",0,0,0,0,0,0
"7461","LOC102934221",0,0,0,0,0,0
"7462","LOC102934223",0,306,16,30,1,14
"7463","LOC102934226",0,0,0,0,0,0
"7464","LOC102934228",0,0,0,0,0,0
"7465","LOC102934233",0,0,0,0,0,0
"7466","LOC102934237",0,4,0,0,0,0
"7467","LOC102934239",0,0,0,0,0,0
"7468","LOC102934244",0,0,0,0,0,0
"7469","LOC102934247",0,0,0,1,0,0
"7470","LOC102934251",0,0,0,0,0,0
"7471","LOC102934258",0,54,0,11,1,0
"7472","LOC102934268",0,0,0,0,0,0
"7473","LOC102934270",0,0,0,0,0,0
"7474","LOC102934274",2,399,0,0,6,3
"7475","LOC102934278",0,0,0,0,0,0
"7476","LOC102934284",0,0,0,0,0,0
"7477","LOC102934291",0,0,0,0,0,0
"7478","LOC102934292",0,0,0,0,0,0
"7479","LOC102934294",0,0,0,0,0,0
"7480","LOC102934296",0,0,0,0,0,0
"7481","LOC102934304",1,164,8,0,0,7
"7482","LOC102934309",0,0,0,0,0,0
"7483","LOC102934311",0,3,0,0,0,0
"7484","LOC102934314",0,0,0,0,0,0
"7485","LOC102934318",21,1409,5,0,22,40
"7486","LOC102934321",20,2616,63,74,52,127
"7487","LOC102934334",0,0,0,0,0,0
"7488","LOC102934343",0,0,0,0,0,0
"7489","LOC102934346",0,0,0,0,0,0
"7490","LOC102934350",0,0,0,0,0,0
"7491","LOC102934356",0,0,0,0,0,0
"7492","LOC102934360",0,0,0,0,0,0
"7493","LOC102934367",0,67,0,0,2,9
"7494","LOC102934368",0,0,0,0,0,0
"7495","LOC102934370",1,43,0,18,0,0
"7496","LOC102934384",5,452,19,70,22,126
"7497","LOC102934399",0,0,0,0,0,0
"7498","LOC102934412",0,0,0,0,0,0
"7499","LOC102934420",405,31703,550,842,497,1786
"7500","LOC102934432",0,0,0,0,0,0
"7501","LOC102934445",0,0,0,0,0,0
"7502","LOC102934451",0,0,0,64,0,10
"7503","LOC102934452",0,0,0,0,0,0
"7504","LOC102934457",0,0,0,0,0,0
"7505","LOC102934459",0,0,0,0,0,0
"7506","LOC102934462",0,0,0,0,0,0
"7507","LOC102934467",0,0,0,0,0,0
"7508","LOC102934476",0,0,0,0,0,0
"7509","LOC102934482",0,0,0,0,0,0
"7510","LOC102934496",0,0,0,0,0,0
"7511","LOC102934498",8,687,0,50,1,16
"7512","LOC102934506",0,0,0,0,0,0
"7513","LOC102934510",0,0,0,0,0,0
"7514","LOC102934511",0,62,0,25,5,0
"7515","LOC102934513",0,0,0,0,0,0
"7516","LOC102934518",0,0,0,0,0,0
"7517","LOC102934529",0,0,0,0,0,0
"7518","LOC102934530",0,57,0,0,0,3
"7519","LOC102934533",0,27,0,0,0,0
"7520","LOC102934534",0,0,0,0,0,0
"7521","LOC102934536",0,42,0,0,0,0
"7522","LOC102934578",0,0,0,1,0,0
"7523","LOC102934583",0,0,0,0,0,0
"7524","LOC102934584",0,0,0,0,0,0
"7525","LOC102934591",0,0,0,0,0,0
"7526","LOC102934593",4,675,16,25,6,56
"7527","LOC102934594",1,0,0,0,0,0
"7528","LOC102934596",0,0,0,0,0,2
"7529","LOC102934598",0,0,0,0,0,0
"7530","LOC102934623",0,0,0,0,0,0
"7531","LOC102934640",0,0,0,0,0,0
"7532","LOC102934644",0,55,0,0,2,5
"7533","LOC102934650",0,0,0,0,0,0
"7534","LOC102934655",0,1,6,0,0,0
"7535","LOC102934666",0,0,0,0,0,0
"7536","LOC102934674",0,0,0,0,0,0
"7537","LOC102934681",0,0,0,0,0,0
"7538","LOC102934685",0,0,0,0,0,0
"7539","LOC102934689",0,0,0,0,0,0
"7540","LOC102934704",0,0,0,0,0,0
"7541","LOC102934708",0,50,0,0,0,0
"7542","LOC102934713",0,0,0,0,0,0
"7543","LOC102934719",0,12,0,0,0,0
"7544","LOC102934722",0,0,0,0,0,0
"7545","LOC102934728",0,0,0,0,0,0
"7546","LOC102934730",0,30,0,0,0,0
"7547","LOC102934752",0,0,0,0,0,0
"7548","LOC102934754",0,0,3,0,0,6
"7549","LOC102934767",0,0,0,0,0,0
"7550","LOC102934788",0,38,0,0,0,1
"7551","LOC102934790",0,0,0,0,0,0
"7552","LOC102934802",0,0,0,0,0,0
"7553","LOC102934807",0,0,0,0,0,0
"7554","LOC102934810",0,0,0,0,0,0
"7555","LOC102934811",3,911,0,24,17,38
"7556","LOC102934813",3,237,0,42,0,5
"7557","LOC102934814",2,275,0,0,2,5
"7558","LOC102934819",0,0,0,0,0,0
"7559","LOC102934820",0,0,0,0,0,0
"7560","LOC102934823",0,0,0,0,0,0
"7561","LOC102934828",8,1253,18,51,16,46
"7562","LOC102934833",0,0,0,0,0,0
"7563","LOC102934842",0,22,0,0,0,0
"7564","LOC102934843",0,0,0,0,0,0
