"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"19797","MAP7D3",56,2671,35,172,82,355
"19798","MAP9",0,81,5,0,2,8
"19799","MAPK1",10,588,0,23,4,12
"19800","MAPK10",0,36,0,0,0,0
"19801","MAPK11",4,959,11,31,12,37
"19802","MAPK12",0,93,0,0,2,3
"19803","MAPK13",0,1,0,0,0,0
"19804","MAPK14",0,0,0,0,0,0
"19805","MAPK15",0,93,0,0,0,0
"19806","MAPK1IP1L",5,1155,4,18,3,33
"19807","MAPK3",21,1226,0,5,13,27
"19808","MAPK4",9,1416,14,7,10,23
"19809","MAPK6",0,0,0,0,0,0
"19810","MAPK7",0,428,8,0,0,1
"19811","MAPK8",3,512,0,43,6,1
"19812","MAPK8IP1",0,38,0,0,0,0
"19813","MAPK8IP2",0,0,0,0,0,0
"19814","MAPK8IP3",3,858,0,0,7,13
"19815","MAPK9",1,159,2,14,5,16
"19816","MAPKAP1",6,353,27,14,14,18
"19817","MAPKAPK2",0,0,0,0,0,0
"19818","MAPKAPK3",0,37,0,0,4,0
"19819","MAPKAPK5",5,691,15,0,0,29
"19820","MAPKBP1",4,1454,6,42,13,22
"19821","MAPRE1",0,0,0,0,0,0
"19822","MAPRE2",2,1082,1,0,16,33
"19823","MAPRE3",2,463,0,0,5,16
"19824","MAPT",4,242,15,0,7,23
"19825","MARCHF1",0,0,0,0,0,6
"19826","MARCHF10",2,0,0,0,0,6
"19827","MARCHF11",0,0,0,0,0,0
"19828","MARCHF2",5,310,0,0,0,3
"19829","MARCHF3",0,19,0,0,0,0
"19830","MARCHF4",0,0,0,0,0,0
"19831","MARCHF5",1,350,0,0,0,16
"19832","MARCHF6",0,481,15,0,3,12
"19833","MARCHF7",0,0,0,0,0,0
"19834","MARCHF8",0,123,0,0,0,4
"19835","MARCHF9",0,0,0,0,0,0
"19836","MARCKS",53,3752,76,82,36,118
"19837","MARCKSL1",0,0,0,0,0,0
"19838","MARCO",0,0,0,0,0,0
"19839","MARF1",0,0,0,0,0,0
"19840","MARK1",0,226,0,22,1,2
"19841","MARK2",17,1921,12,2,17,70
"19842","MARK3",14,735,18,27,10,11
"19843","MARK4",0,0,0,0,0,0
